,number,values_0,values_1,datetime_start,datetime_complete,duration,params_x,params_y,params_z,system_attrs_NSGAIISampler:generation,state
0,0,70.55999999999997,3.1250237952917814e-06,2025-11-17 23:06:12.385765,2025-11-17 23:06:12.386797,0 days 00:00:00.001032,A,-2.8,3,0,COMPLETE
1,1,63912.896099999976,1.9999861251562834e-06,2025-11-17 23:06:12.387745,2025-11-17 23:06:12.388262,0 days 00:00:00.000517,B,-5.3,3,0,COMPLETE
2,2,2134.4399999999996,1.0840012691915035e-06,2025-11-17 23:06:12.388993,2025-11-17 23:06:12.389499,0 days 00:00:00.000506,A,7.699999999999999,6,0,COMPLETE
3,3,456976.0,1.4579854905605316e-06,2025-11-17 23:06:12.390075,2025-11-17 23:06:12.390543,0 days 00:00:00.000468,B,-6.5,4,0,COMPLETE
4,4,72339.48159999997,8.750066626816988e-07,2025-11-17 23:06:12.391155,2025-11-17 23:06:12.391511,0 days 00:00:00.000356,B,8.2,2,0,COMPLETE
5,5,93789.0625,9.579816833138466e-07,2025-11-17 23:06:12.391974,2025-11-17 23:06:12.392299,0 days 00:00:00.000325,B,-3.5,5,0,COMPLETE
6,6,79659.41760000009,1.9999861251562834e-06,2025-11-17 23:06:12.392679,2025-11-17 23:06:12.393276,0 days 00:00:00.000597,B,2.8000000000000007,6,0,COMPLETE
7,7,485753.2415999999,1.2909877113997936e-06,2025-11-17 23:06:12.393791,2025-11-17 23:06:12.394214,0 days 00:00:00.000423,B,-3.3,8,0,COMPLETE
8,8,52200625.0,1.166015863418579e-06,2025-11-17 23:06:12.394629,2025-11-17 23:06:12.394943,0 days 00:00:00.000314,B,-8.5,10,0,COMPLETE
9,9,213675.0625,1.333013642579317e-06,2025-11-17 23:06:12.395330,2025-11-17 23:06:12.395681,0 days 00:00:00.000351,B,-4.3,5,0,COMPLETE
10,10,8649.0,8.750066626816988e-07,2025-11-17 23:06:12.396019,2025-11-17 23:06:12.396307,0 days 00:00:00.000288,A,-9.3,10,0,COMPLETE
11,11,32665339.929600015,1.7090060282498598e-06,2025-11-17 23:06:12.396767,2025-11-17 23:06:12.397262,0 days 00:00:00.000495,B,-8.4,9,0,COMPLETE
12,12,4635236.761600003,1.00000761449337e-06,2025-11-17 23:06:12.397769,2025-11-17 23:06:12.398095,0 days 00:00:00.000326,B,5.800000000000001,8,0,COMPLETE
13,13,2041583.745600001,1.4999823179095984e-06,2025-11-17 23:06:12.398664,2025-11-17 23:06:12.399068,0 days 00:00:00.000404,B,5.4,7,0,COMPLETE
14,14,8493.465599999992,1.4999823179095984e-06,2025-11-17 23:06:12.399484,2025-11-17 23:06:12.399911,0 days 00:00:00.000427,B,-1.5999999999999996,6,0,COMPLETE
15,15,22667121.000000037,1.4170072972774506e-06,2025-11-17 23:06:12.400351,2025-11-17 23:06:12.400754,0 days 00:00:00.000403,B,6.900000000000002,10,0,COMPLETE
16,16,7596914.0625,1.4169781934469938e-06,2025-11-17 23:06:12.401230,2025-11-17 23:06:12.401609,0 days 00:00:00.000379,B,-7.5,7,0,COMPLETE
17,17,11007531.417599997,1.2500095181167126e-06,2025-11-17 23:06:12.402057,2025-11-17 23:06:12.402373,0 days 00:00:00.000316,B,-9.6,6,0,COMPLETE
18,18,231.34410000000008,1.166015863418579e-06,2025-11-17 23:06:12.402740,2025-11-17 23:06:12.403082,0 days 00:00:00.000342,B,3.9000000000000004,1,0,COMPLETE
19,19,2401.0000000000023,1.4170072972774506e-06,2025-11-17 23:06:12.403712,2025-11-17 23:06:12.404077,0 days 00:00:00.000365,B,-1.4000000000000004,5,0,COMPLETE
20,20,19674192.51360001,9.580107871443033e-07,2025-11-17 23:06:12.404524,2025-11-17 23:06:12.404834,0 days 00:00:00.000310,B,-7.4,9,0,COMPLETE
21,21,1075037.1855999995,8.33999365568161e-07,2025-11-17 23:06:12.405132,2025-11-17 23:06:12.405413,0 days 00:00:00.000281,B,-4.6,7,0,COMPLETE
22,22,282.5760999999999,1.1250085663050413e-06,2025-11-17 23:06:12.405687,2025-11-17 23:06:12.406126,0 days 00:00:00.000439,B,-4.1,1,0,COMPLETE
23,23,2313441.0,1.1659867595881224e-06,2025-11-17 23:06:12.406471,2025-11-17 23:06:12.406813,0 days 00:00:00.000342,B,7.800000000000001,5,0,COMPLETE
24,24,923521.0000000017,7.499766070395708e-07,2025-11-17 23:06:12.407164,2025-11-17 23:06:12.407454,0 days 00:00:00.000290,B,3.1000000000000014,10,0,COMPLETE
25,25,3113.64,1.0410149116069078e-06,2025-11-17 23:06:12.407968,2025-11-17 23:06:12.408342,0 days 00:00:00.000374,A,6.199999999999999,9,0,COMPLETE
26,26,56244.86559999998,1.0829826351255178e-06,2025-11-17 23:06:12.408702,2025-11-17 23:06:12.409082,0 days 00:00:00.000380,B,-7.699999999999999,2,0,COMPLETE
27,27,24010000.0,9.579816833138466e-07,2025-11-17 23:06:12.409391,2025-11-17 23:06:12.409695,0 days 00:00:00.000304,B,7.0,10,0,COMPLETE
28,28,2.25,5.830079317092896e-07,2025-11-17 23:06:12.409996,2025-11-17 23:06:12.410248,0 days 00:00:00.000252,A,1.5,1,0,COMPLETE
29,29,576.0,1.0420044418424368e-06,2025-11-17 23:06:12.410560,2025-11-17 23:06:12.410870,0 days 00:00:00.000310,A,8.0,3,0,COMPLETE
30,30,2116.0000000000014,7.500057108700275e-07,2025-11-17 23:06:12.411305,2025-11-17 23:06:12.411620,0 days 00:00:00.000315,A,4.600000000000001,10,0,COMPLETE
31,31,302.75999999999993,7.089984137564898e-07,2025-11-17 23:06:12.411891,2025-11-17 23:06:12.412127,0 days 00:00:00.000236,A,-2.8999999999999995,6,0,COMPLETE
32,32,4956.160000000001,7.919734343886375e-07,2025-11-17 23:06:12.412336,2025-11-17 23:06:12.412580,0 days 00:00:00.000244,A,8.8,8,0,COMPLETE
33,33,67.24,7.089984137564898e-07,2025-11-17 23:06:12.412821,2025-11-17 23:06:12.413075,0 days 00:00:00.000254,A,-8.2,1,0,COMPLETE
34,34,338.56000000000023,6.250047590583563e-07,2025-11-17 23:06:12.413329,2025-11-17 23:06:12.413596,0 days 00:00:00.000267,A,4.600000000000001,4,0,COMPLETE
35,35,2256.25,7.500057108700275e-07,2025-11-17 23:06:12.413849,2025-11-17 23:06:12.414083,0 days 00:00:00.000234,A,9.5,5,0,COMPLETE
36,36,854071.7055999999,8.750066626816988e-07,2025-11-17 23:06:12.414441,2025-11-17 23:06:12.414665,0 days 00:00:00.000224,B,-3.8,8,0,COMPLETE
37,37,4515.84,8.750066626816988e-07,2025-11-17 23:06:12.414920,2025-11-17 23:06:12.415148,0 days 00:00:00.000228,A,-8.4,8,0,COMPLETE
38,38,39.68999999999998,7.500057108700275e-07,2025-11-17 23:06:12.415362,2025-11-17 23:06:12.415614,0 days 00:00:00.000252,A,-2.0999999999999996,3,0,COMPLETE
39,39,615.0400000000005,5.00003807246685e-07,2025-11-17 23:06:12.415948,2025-11-17 23:06:12.416185,0 days 00:00:00.000237,A,3.1000000000000014,8,0,COMPLETE
40,40,1624324.7601000017,5.830079317092896e-07,2025-11-17 23:06:12.416533,2025-11-17 23:06:12.416759,0 days 00:00:00.000226,B,5.100000000000001,7,0,COMPLETE
41,41,33.64000000000001,1.167005393654108e-06,2025-11-17 23:06:12.417082,2025-11-17 23:06:12.417599,0 days 00:00:00.000517,A,5.800000000000001,1,0,COMPLETE
42,42,270233.6256000002,1.3329845387488604e-06,2025-11-17 23:06:12.418290,2025-11-17 23:06:12.418713,0 days 00:00:00.000423,B,3.8000000000000007,6,0,COMPLETE
43,43,20736.00000000001,1.00000761449337e-06,2025-11-17 23:06:12.419086,2025-11-17 23:06:12.419370,0 days 00:00:00.000284,B,2.4000000000000004,5,0,COMPLETE
44,44,7163.929600000009,6.659829523414373e-07,2025-11-17 23:06:12.419760,2025-11-17 23:06:12.420214,0 days 00:00:00.000454,B,4.600000000000001,2,0,COMPLETE
45,45,538.2400000000001,1.334003172814846e-06,2025-11-17 23:06:12.420565,2025-11-17 23:06:12.420943,0 days 00:00:00.000378,A,5.800000000000001,4,0,COMPLETE
46,46,3364.0,6.67001586407423e-07,2025-11-17 23:06:12.421447,2025-11-17 23:06:12.421699,0 days 00:00:00.000252,A,-5.8,10,0,COMPLETE
47,47,46.23999999999999,7.500057108700275e-07,2025-11-17 23:06:12.421942,2025-11-17 23:06:12.422153,0 days 00:00:00.000211,A,-3.3999999999999995,2,0,COMPLETE
48,48,256.0,5.420006345957518e-07,2025-11-17 23:06:12.422372,2025-11-17 23:06:12.422583,0 days 00:00:00.000211,B,-0.5,8,0,COMPLETE
49,49,10855443.457599994,1.0830117389559746e-06,2025-11-17 23:06:12.422812,2025-11-17 23:06:12.423070,0 days 00:00:00.000258,B,-8.2,7,0,COMPLETE
50,50,6724.0,1.1250085663050413e-06,2025-11-17 23:06:12.423308,2025-11-17 23:06:12.424878,0 days 00:00:00.001570,A,-8.2,10,1,COMPLETE
51,51,841.0000000000002,1.3750104699283838e-06,2025-11-17 23:06:12.425277,2025-11-17 23:06:12.425939,0 days 00:00:00.000662,A,5.800000000000001,5,1,COMPLETE
52,52,4435.560000000001,1.500011421740055e-06,2025-11-17 23:06:12.426234,2025-11-17 23:06:12.426542,0 days 00:00:00.000308,A,-7.4,9,1,COMPLETE
53,53,5715.3600000000015,6.67001586407423e-07,2025-11-17 23:06:12.426833,2025-11-17 23:06:12.427091,0 days 00:00:00.000258,A,-8.4,9,1,COMPLETE
54,54,3164.0625,8.329807315021753e-07,2025-11-17 23:06:12.427273,2025-11-17 23:06:12.427644,0 days 00:00:00.000371,B,-7.5,1,1,COMPLETE
55,55,302.75999999999993,5.00003807246685e-07,2025-11-17 23:06:12.427962,2025-11-17 23:06:12.428327,0 days 00:00:00.000365,A,-2.8999999999999995,6,1,COMPLETE
56,56,2041583.7455999993,5.00003807246685e-07,2025-11-17 23:06:12.428707,2025-11-17 23:06:12.429152,0 days 00:00:00.000445,B,-6.3,6,1,COMPLETE
57,57,110.25,3.7500285543501377e-07,2025-11-17 23:06:12.429410,2025-11-17 23:06:12.429726,0 days 00:00:00.000316,A,-1.5,7,1,COMPLETE
58,58,81450625.0,7.080088835209608e-07,2025-11-17 23:06:12.430058,2025-11-17 23:06:12.430451,0 days 00:00:00.000393,B,-9.5,10,1,COMPLETE
59,59,2041583.745600001,5.00003807246685e-07,2025-11-17 23:06:12.430824,2025-11-17 23:06:12.431364,0 days 00:00:00.000540,B,5.4,7,1,COMPLETE
60,60,24563521.945600007,9.580107871443033e-07,2025-11-17 23:06:12.431957,2025-11-17 23:06:12.432385,0 days 00:00:00.000428,B,8.8,8,1,COMPLETE
61,61,93789.0625,5.420006345957518e-07,2025-11-17 23:06:12.432710,2025-11-17 23:06:12.433019,0 days 00:00:00.000309,B,-3.5,5,1,COMPLETE
62,62,2.25,5.830079317092896e-07,2025-11-17 23:06:12.433318,2025-11-17 23:06:12.433623,0 days 00:00:00.000305,A,1.5,1,1,COMPLETE
63,63,2905.209999999999,1.4170072972774506e-06,2025-11-17 23:06:12.433892,2025-11-17 23:06:12.434258,0 days 00:00:00.000366,A,7.699999999999999,7,1,COMPLETE
64,64,84.64000000000006,6.67001586407423e-07,2025-11-17 23:06:12.434518,2025-11-17 23:06:12.434716,0 days 00:00:00.000198,A,4.600000000000001,2,1,COMPLETE
65,65,19674192.51360001,6.250047590583563e-07,2025-11-17 23:06:12.435044,2025-11-17 23:06:12.435315,0 days 00:00:00.000271,B,-7.4,9,1,COMPLETE
66,66,15161366.937600005,8.330098353326321e-07,2025-11-17 23:06:12.435511,2025-11-17 23:06:12.435789,0 days 00:00:00.000278,B,7.800000000000001,8,1,COMPLETE
67,67,1971.3600000000006,6.67001586407423e-07,2025-11-17 23:06:12.436242,2025-11-17 23:06:12.436501,0 days 00:00:00.000259,A,-7.4,6,1,COMPLETE
68,68,1400340.8896000008,5.830079317092896e-07,2025-11-17 23:06:12.436704,2025-11-17 23:06:12.436993,0 days 00:00:00.000289,B,8.600000000000001,4,1,COMPLETE
69,69,3262539.0625,7.089984137564898e-07,2025-11-17 23:06:12.437187,2025-11-17 23:06:12.437413,0 days 00:00:00.000226,B,-8.5,5,1,COMPLETE
70,70,11007531.417599997,1.00000761449337e-06,2025-11-17 23:06:12.437730,2025-11-17 23:06:12.438155,0 days 00:00:00.000425,B,-7.199999999999999,8,1,COMPLETE
71,71,22667121.000000037,1.0420044418424368e-06,2025-11-17 23:06:12.438552,2025-11-17 23:06:12.438922,0 days 00:00:00.000370,B,6.900000000000002,10,1,COMPLETE
72,72,130321.0,9.579816833138466e-07,2025-11-17 23:06:12.439265,2025-11-17 23:06:12.439907,0 days 00:00:00.000642,B,9.5,2,1,COMPLETE
73,73,1089.0,8.749775588512421e-07,2025-11-17 23:06:12.440295,2025-11-17 23:06:12.440784,0 days 00:00:00.000489,A,-6.6,5,1,COMPLETE
74,74,5184.0,9.580107871443033e-07,2025-11-17 23:06:12.441100,2025-11-17 23:06:12.441457,0 days 00:00:00.000357,A,8.0,9,1,COMPLETE
75,75,14398685.593599996,1.4580145943909883e-06,2025-11-17 23:06:12.442200,2025-11-17 23:06:12.442664,0 days 00:00:00.000464,B,7.699999999999999,8,1,COMPLETE
76,76,2313441.0,1.334003172814846e-06,2025-11-17 23:06:12.443217,2025-11-17 23:06:12.443678,0 days 00:00:00.000461,B,7.800000000000001,5,1,COMPLETE
77,77,784.0,7.499766070395708e-07,2025-11-17 23:06:12.443979,2025-11-17 23:06:12.444285,0 days 00:00:00.000306,A,4.0,7,1,COMPLETE
78,78,74805201.0,1.1659867595881224e-06,2025-11-17 23:06:12.444530,2025-11-17 23:06:12.444929,0 days 00:00:00.000399,B,-9.3,10,1,COMPLETE
79,79,5308416.0,1.2500095181167126e-06,2025-11-17 23:06:12.445630,2025-11-17 23:06:12.446001,0 days 00:00:00.000371,B,-9.6,5,1,COMPLETE
80,80,366218.62559999985,1.00000761449337e-06,2025-11-17 23:06:12.446311,2025-11-17 23:06:12.446683,0 days 00:00:00.000372,B,-8.2,3,1,COMPLETE
81,81,466.5599999999999,7.500057108700275e-07,2025-11-17 23:06:12.446941,2025-11-17 23:06:12.447283,0 days 00:00:00.000342,A,-3.5999999999999996,6,1,COMPLETE
82,82,9834496.0,1.207983586937189e-06,2025-11-17 23:06:12.447529,2025-11-17 23:06:12.447861,0 days 00:00:00.000332,B,7.0,8,1,COMPLETE
83,83,1354.240000000001,1.0830117389559746e-06,2025-11-17 23:06:12.448195,2025-11-17 23:06:12.448654,0 days 00:00:00.000459,A,4.600000000000001,8,1,COMPLETE
84,84,96059601.0,9.999785106629133e-07,2025-11-17 23:06:12.449127,2025-11-17 23:06:12.449577,0 days 00:00:00.000450,B,-9.9,10,1,COMPLETE
85,85,270233.6256000002,1.2500095181167126e-06,2025-11-17 23:06:12.449985,2025-11-17 23:06:12.450379,0 days 00:00:00.000394,B,3.8000000000000007,6,1,COMPLETE
86,86,2401.0000000000023,7.080088835209608e-07,2025-11-17 23:06:12.450649,2025-11-17 23:06:12.450846,0 days 00:00:00.000197,B,-1.4000000000000004,5,1,COMPLETE
87,87,747118.2095999998,1.1669762898236513e-06,2025-11-17 23:06:12.451098,2025-11-17 23:06:12.451596,0 days 00:00:00.000498,B,-4.8999999999999995,6,1,COMPLETE
88,88,29986576.0,1.1250085663050413e-06,2025-11-17 23:06:12.452060,2025-11-17 23:06:12.452439,0 days 00:00:00.000379,B,-7.4,10,1,COMPLETE
89,89,81.0,9.590003173798323e-07,2025-11-17 23:06:12.453042,2025-11-17 23:06:12.453607,0 days 00:00:00.000565,A,3.0,3,1,COMPLETE
90,90,130321.0000000001,1.208973117172718e-06,2025-11-17 23:06:12.454132,2025-11-17 23:06:12.454645,0 days 00:00:00.000513,B,1.9000000000000004,10,1,COMPLETE
91,91,11007531.417599997,1.0830117389559746e-06,2025-11-17 23:06:12.455114,2025-11-17 23:06:12.455561,0 days 00:00:00.000447,B,7.199999999999999,8,1,COMPLETE
92,92,1369.0,1.00000761449337e-06,2025-11-17 23:06:12.456058,2025-11-17 23:06:12.456485,0 days 00:00:00.000427,A,-7.4,5,1,COMPLETE
93,93,2771026.329600003,1.00000761449337e-06,2025-11-17 23:06:12.456777,2025-11-17 23:06:12.457172,0 days 00:00:00.000395,B,5.100000000000001,8,1,COMPLETE
